Feature1,Feature2,Correlation
TDNorm_avg_PE,positive_word_ratio,0.220342
overall_avg_PE,char_count,-0.214669
lexical_diversity,sentiment_subjectivity,0.204847
negative_word_count,flesch_kincaid_grade,0.203892
TDNorm_avg_PE,sentence_count,0.202618
avg_sentence_length,lexical_diversity,0.191999
sentiment_subjectivity,positive_word_count,0.189912
overall_avg_PE,avg_sentence_length,-0.188644
overall_avg_PE,word_count,-0.187604
FSR_scaled,char_count,-0.186499
shortness_score,negative_word_ratio,-0.183276
sentence_count,flesch_kincaid_grade,0.181943
overall_avg_PE,flesch_kincaid_grade,-0.180495
avg_sentence_length,flesch_reading_ease,0.180093
FSR_scaled,avg_sentence_length,-0.179787
negative_word_ratio,flesch_reading_ease,0.165601
lexical_diversity,flesch_kincaid_grade,0.165074
overall_avg_PE,sentence_count,-0.154752
char_count,sentiment_polarity,0.154721
FSR_scaled,word_count,-0.154052
shortness_score,sentiment_polarity,-0.152128
overall_avg_PE,shortness_score,0.150784
sentiment_subjectivity,negative_word_count,0.146651
lexical_diversity,negative_word_ratio,0.145118
avg_sentence_length,sentiment_polarity,0.144315
overall_avg_PE,positive_word_count,-0.14268
sentiment_polarity,positive_word_count,0.137654
music_negative,sentence_count,0.134336
music_mentioned,sentence_count,0.134336
music_neutral,sentence_count,-0.134336
FSR_scaled,flesch_kincaid_grade,-0.134081
TDNorm_avg_PE,positive_word_count,0.132603
TDNorm_avg_PE,FSR_scaled,0.132578
word_count,avg_word_length,0.131628
TDNorm_avg_PE,avg_sentence_length,0.131016
sentiment_polarity,flesch_reading_ease,0.126283
sentiment_subjectivity,flesch_reading_ease,0.125641
overall_avg_PE,avg_word_length,-0.125183
positive_word_ratio,flesch_kincaid_grade,-0.124494
avg_word_length,negative_word_count,0.11946
sentence_count,negative_word_ratio,0.118804
word_count,sentiment_polarity,0.117351
TDNorm_avg_PE,sentiment_subjectivity,0.115369
FSR_scaled,sentence_count,-0.114947
FSR_scaled,positive_word_count,-0.114655
overall_avg_PE,sentiment_polarity,-0.114647
char_count,flesch_reading_ease,0.114158
negative_word_count,flesch_reading_ease,0.111254
FSR_scaled,negative_word_count,-0.107216
overall_avg_PE,negative_word_count,-0.10365
avg_word_length,negative_word_ratio,0.101994
sentence_count,sentiment_polarity,0.100794
sentiment_polarity,positive_word_ratio,0.100518
FSR_scaled,sentiment_subjectivity,-0.095126
TDNorm_avg_PE,negative_word_ratio,0.093528
music_negative,positive_word_count,0.093181
music_mentioned,positive_word_count,0.093181
music_neutral,positive_word_count,-0.093181
sentence_count,positive_word_ratio,0.092942
lexical_diversity,positive_word_count,0.091413
FSR_scaled,shortness_score,0.090652
lexical_diversity,sentiment_polarity,0.089566
char_count,negative_word_ratio,0.089241
overall_avg_PE,sentiment_subjectivity,-0.087805
avg_sentence_length,negative_word_ratio,0.086569
music_mentioned,char_count,0.08329
music_negative,char_count,0.08329
music_neutral,char_count,-0.08329
avg_word_length,sentiment_polarity,0.079953
word_count,flesch_reading_ease,0.077472
TDNorm_avg_PE,char_count,0.074325
positive_word_count,negative_word_ratio,0.069834
FSR_scaled,sentiment_polarity,-0.068181
char_count,lexical_diversity,0.065443
word_count,positive_word_ratio,-0.065007
word_count,negative_word_ratio,0.060857
TDNorm_avg_PE,negative_word_count,0.06012
music_neutral,word_count,-0.05894
music_mentioned,word_count,0.05894
music_negative,word_count,0.05894
overall_concept_learning,sentiment_polarity,-0.056888
negative_word_count,positive_word_ratio,-0.054432
TDNorm_avg_PE,word_count,0.053925
TDnorm_concept_learning,positive_word_count,0.051653
TDnorm_concept_learning,sentiment_polarity,-0.04844
overall_concept_learning,positive_word_count,0.04778
char_count,positive_word_ratio,-0.047184
overall_concept_learning,food_neutral,0.046341
overall_concept_learning,Fruits_and_vegetables_neutral,0.046341
overall_concept_learning,Fruits_and_vegetables_positive,-0.046341
overall_concept_learning,Fruits_and_vegetables_mentioned,-0.046341
overall_concept_learning,food_positive,-0.046341
overall_concept_learning,food_mentioned,-0.046341
sentiment_polarity,negative_word_ratio,-0.04599
overall_avg_PE,lexical_diversity,-0.044003
overall_avg_PE,TDnorm_concept_learning,0.042949
TDnorm_concept_learning,word_count,-0.038993
positive_word_ratio,negative_word_ratio,-0.038769
lexical_diversity,negative_word_count,0.038766
FSR_scaled,lexical_diversity,0.038643
sentiment_subjectivity,negative_word_ratio,0.0382
TDNorm_avg_PE,flesch_kincaid_grade,0.037619
FSR_scaled,food_neutral,0.036721
FSR_scaled,Fruits_and_vegetables_neutral,0.036721
FSR_scaled,food_positive,-0.036721
FSR_scaled,Fruits_and_vegetables_mentioned,-0.036721
FSR_scaled,food_mentioned,-0.036721
FSR_scaled,Fruits_and_vegetables_positive,-0.036721
music_mentioned,negative_word_count,0.035944
music_negative,negative_word_count,0.035944
music_neutral,negative_word_count,-0.035944
overall_avg_PE,overall_concept_learning,0.035866
overall_concept_learning,negative_word_count,-0.035699
music_mentioned,sentiment_subjectivity,0.035248
music_negative,sentiment_subjectivity,0.035248
music_neutral,sentiment_subjectivity,-0.035248
FSR_scaled,positive_word_ratio,0.034036
sentiment_subjectivity,positive_word_ratio,-0.033137
TDNorm_avg_PE,TDnorm_concept_learning,0.03276
FSR_scaled,avg_word_length,-0.032546
music_mentioned,flesch_kincaid_grade,0.031617
music_negative,flesch_kincaid_grade,0.031617
music_neutral,flesch_kincaid_grade,-0.031617
sentiment_polarity,negative_word_count,0.029753
FSR_scaled,flesch_reading_ease,0.028714
overall_concept_learning,FSR_scaled,0.028465
TDnorm_concept_learning,sentence_count,-0.028295
music_mentioned,sentiment_polarity,-0.026611
music_negative,sentiment_polarity,-0.026611
music_neutral,sentiment_polarity,0.026611
TDnorm_concept_learning,positive_word_ratio,0.026012
food_mentioned,sentiment_subjectivity,-0.02591
food_positive,sentiment_subjectivity,-0.02591
Fruits_and_vegetables_positive,sentiment_subjectivity,-0.02591
Fruits_and_vegetables_mentioned,sentiment_subjectivity,-0.02591
Fruits_and_vegetables_neutral,sentiment_subjectivity,0.02591
food_neutral,sentiment_subjectivity,0.02591
overall_concept_learning,flesch_kincaid_grade,0.025103
Fruits_and_vegetables_positive,flesch_reading_ease,0.024668
food_positive,flesch_reading_ease,0.024668
food_mentioned,flesch_reading_ease,0.024668
Fruits_and_vegetables_mentioned,flesch_reading_ease,0.024668
Fruits_and_vegetables_neutral,flesch_reading_ease,-0.024668
food_neutral,flesch_reading_ease,-0.024668
sentiment_polarity,flesch_kincaid_grade,0.023531
overall_avg_PE,negative_word_ratio,-0.022851
music_mentioned,shortness_score,-0.022489
music_negative,shortness_score,-0.022489
music_neutral,shortness_score,0.022489
overall_concept_learning,sentence_count,-0.021758
overall_concept_learning,positive_word_ratio,0.021534
food_neutral,avg_word_length,-0.020219
Fruits_and_vegetables_neutral,avg_word_length,-0.020219
food_mentioned,avg_word_length,0.020219
Fruits_and_vegetables_positive,avg_word_length,0.020219
Fruits_and_vegetables_mentioned,avg_word_length,0.020219
food_positive,avg_word_length,0.020219
FSR_scaled,negative_word_ratio,-0.019612
food_positive,flesch_kincaid_grade,-0.019527
food_mentioned,flesch_kincaid_grade,-0.019527
Fruits_and_vegetables_positive,flesch_kincaid_grade,-0.019527
Fruits_and_vegetables_mentioned,flesch_kincaid_grade,-0.019527
food_neutral,flesch_kincaid_grade,0.019527
Fruits_and_vegetables_neutral,flesch_kincaid_grade,0.019527
TDnorm_concept_learning,FSR_scaled,-0.018387
Fruits_and_vegetables_neutral,negative_word_count,0.017942
food_neutral,negative_word_count,0.017942
food_mentioned,negative_word_count,-0.017942
food_positive,negative_word_count,-0.017942
Fruits_and_vegetables_positive,negative_word_count,-0.017942
Fruits_and_vegetables_mentioned,negative_word_count,-0.017942
overall_concept_learning,flesch_reading_ease,-0.017657
TDnorm_concept_learning,char_count,-0.017522
overall_concept_learning,avg_word_length,0.017427
TDnorm_concept_learning,negative_word_count,-0.01721
overall_concept_learning,word_count,-0.016595
TDNorm_avg_PE,overall_concept_learning,-0.016542
food_neutral,negative_word_ratio,0.015397
Fruits_and_vegetables_neutral,negative_word_ratio,0.015397
food_positive,negative_word_ratio,-0.015397
food_mentioned,negative_word_ratio,-0.015397
Fruits_and_vegetables_mentioned,negative_word_ratio,-0.015397
Fruits_and_vegetables_positive,negative_word_ratio,-0.015397
TDnorm_concept_learning,flesch_kincaid_grade,-0.015297
music_negative,flesch_reading_ease,-0.015248
music_mentioned,flesch_reading_ease,-0.015248
music_neutral,flesch_reading_ease,0.015248
music_negative,avg_word_length,0.014402
music_mentioned,avg_word_length,0.014402
music_neutral,avg_word_length,-0.014402
TDNorm_avg_PE,sentiment_polarity,-0.013887
TDnorm_concept_learning,music_mentioned,0.013735
TDnorm_concept_learning,music_negative,0.013735
TDnorm_concept_learning,music_neutral,-0.013735
overall_avg_PE,positive_word_ratio,-0.012632
TDnorm_concept_learning,lexical_diversity,-0.012309
TDnorm_concept_learning,food_neutral,0.012265
TDnorm_concept_learning,Fruits_and_vegetables_neutral,0.012265
TDnorm_concept_learning,Fruits_and_vegetables_mentioned,-0.012265
TDnorm_concept_learning,Fruits_and_vegetables_positive,-0.012265
TDnorm_concept_learning,food_positive,-0.012265
TDnorm_concept_learning,food_mentioned,-0.012265
overall_avg_PE,Fruits_and_vegetables_positive,-0.012021
overall_avg_PE,food_mentioned,-0.012021
overall_avg_PE,food_positive,-0.012021
overall_avg_PE,Fruits_and_vegetables_mentioned,-0.012021
overall_avg_PE,food_neutral,0.012021
overall_avg_PE,Fruits_and_vegetables_neutral,0.012021
TDnorm_concept_learning,shortness_score,0.011992
FSR_scaled,music_neutral,-0.01177
FSR_scaled,music_negative,0.01177
FSR_scaled,music_mentioned,0.01177
Fruits_and_vegetables_positive,shortness_score,-0.011103
Fruits_and_vegetables_mentioned,shortness_score,-0.011103
food_mentioned,shortness_score,-0.011103
food_positive,shortness_score,-0.011103
Fruits_and_vegetables_neutral,shortness_score,0.011103
food_neutral,shortness_score,0.011103
Fruits_and_vegetables_mentioned,sentiment_polarity,-0.010976
Fruits_and_vegetables_positive,sentiment_polarity,-0.010976
food_positive,sentiment_polarity,-0.010976
food_mentioned,sentiment_polarity,-0.010976
Fruits_and_vegetables_neutral,sentiment_polarity,0.010976
food_neutral,sentiment_polarity,0.010976
food_neutral,word_count,0.010907
Fruits_and_vegetables_neutral,word_count,0.010907
food_positive,word_count,-0.010907
food_mentioned,word_count,-0.010907
Fruits_and_vegetables_mentioned,word_count,-0.010907
Fruits_and_vegetables_positive,word_count,-0.010907
TDNorm_avg_PE,food_positive,-0.010491
TDNorm_avg_PE,food_mentioned,-0.010491
TDNorm_avg_PE,Fruits_and_vegetables_positive,-0.010491
TDNorm_avg_PE,Fruits_and_vegetables_mentioned,-0.010491
TDNorm_avg_PE,food_neutral,0.010491
TDNorm_avg_PE,Fruits_and_vegetables_neutral,0.010491
overall_concept_learning,sentiment_subjectivity,-0.010339
food_neutral,char_count,0.01016
Fruits_and_vegetables_neutral,char_count,0.01016
Fruits_and_vegetables_positive,char_count,-0.01016
food_mentioned,char_count,-0.01016
food_positive,char_count,-0.01016
Fruits_and_vegetables_mentioned,char_count,-0.01016
music_negative,lexical_diversity,-0.010136
music_mentioned,lexical_diversity,-0.010136
music_neutral,lexical_diversity,0.010136
overall_concept_learning,avg_sentence_length,0.010066
overall_concept_learning,shortness_score,0.009755
negative_word_ratio,flesch_kincaid_grade,0.009523
TDnorm_concept_learning,sentiment_subjectivity,-0.00924
Fruits_and_vegetables_neutral,sentence_count,0.008881
food_neutral,sentence_count,0.008881
Fruits_and_vegetables_mentioned,sentence_count,-0.008881
Fruits_and_vegetables_positive,sentence_count,-0.008881
food_positive,sentence_count,-0.008881
food_mentioned,sentence_count,-0.008881
food_neutral,positive_word_count,0.008214
Fruits_and_vegetables_neutral,positive_word_count,0.008214
Fruits_and_vegetables_mentioned,positive_word_count,-0.008214
Fruits_and_vegetables_positive,positive_word_count,-0.008214
food_mentioned,positive_word_count,-0.008214
food_positive,positive_word_count,-0.008214
TDnorm_concept_learning,avg_sentence_length,-0.00752
avg_sentence_length,positive_word_ratio,-0.007444
TDnorm_concept_learning,flesch_reading_ease,0.007411
TDnorm_concept_learning,avg_word_length,-0.007386
food_neutral,positive_word_ratio,-0.007151
Fruits_and_vegetables_neutral,positive_word_ratio,-0.007151
food_positive,positive_word_ratio,0.007151
food_mentioned,positive_word_ratio,0.007151
Fruits_and_vegetables_positive,positive_word_ratio,0.007151
Fruits_and_vegetables_mentioned,positive_word_ratio,0.007151
overall_avg_PE,music_neutral,-0.006861
overall_avg_PE,music_negative,0.006861
overall_avg_PE,music_mentioned,0.006861
food_neutral,lexical_diversity,-0.006719
Fruits_and_vegetables_neutral,lexical_diversity,-0.006719
Fruits_and_vegetables_mentioned,lexical_diversity,0.006719
Fruits_and_vegetables_positive,lexical_diversity,0.006719
food_mentioned,lexical_diversity,0.006719
food_positive,lexical_diversity,0.006719
overall_avg_PE,flesch_reading_ease,0.006241
food_mentioned,avg_sentence_length,-0.006094
food_positive,avg_sentence_length,-0.006094
Fruits_and_vegetables_mentioned,avg_sentence_length,-0.006094
Fruits_and_vegetables_positive,avg_sentence_length,-0.006094
food_neutral,avg_sentence_length,0.006094
Fruits_and_vegetables_neutral,avg_sentence_length,0.006094
TDNorm_avg_PE,music_mentioned,0.00606
TDNorm_avg_PE,music_negative,0.00606
TDNorm_avg_PE,music_neutral,-0.00606
overall_concept_learning,negative_word_ratio,-0.004632
overall_concept_learning,music_neutral,0.00352
overall_concept_learning,music_mentioned,-0.00352
overall_concept_learning,music_negative,-0.00352
TDnorm_concept_learning,negative_word_ratio,-0.003059
overall_concept_learning,char_count,-0.002981
music_neutral,positive_word_ratio,-0.001897
music_mentioned,positive_word_ratio,0.001897
music_negative,positive_word_ratio,0.001897
word_count,lexical_diversity,0.001867
overall_concept_learning,lexical_diversity,-0.001789
music_neutral,avg_sentence_length,0.001509
music_negative,avg_sentence_length,-0.001509
music_mentioned,avg_sentence_length,-0.001509
Fruits_and_vegetables_neutral,music_neutral,-0.001119
food_neutral,music_neutral,-0.001119
Fruits_and_vegetables_neutral,music_negative,0.001119
food_neutral,music_mentioned,0.001119
food_neutral,music_negative,0.001119
Fruits_and_vegetables_neutral,music_mentioned,0.001119
food_mentioned,music_neutral,0.001119
Fruits_and_vegetables_positive,music_neutral,0.001119
Fruits_and_vegetables_mentioned,music_neutral,0.001119
food_positive,music_neutral,0.001119
food_positive,music_negative,-0.001119
food_mentioned,music_negative,-0.001119
food_mentioned,music_mentioned,-0.001119
food_positive,music_mentioned,-0.001119
Fruits_and_vegetables_positive,music_mentioned,-0.001119
Fruits_and_vegetables_positive,music_negative,-0.001119
Fruits_and_vegetables_mentioned,music_negative,-0.001119
Fruits_and_vegetables_mentioned,music_mentioned,-0.001119
music_negative,negative_word_ratio,0.001068
music_mentioned,negative_word_ratio,0.001068
music_neutral,negative_word_ratio,-0.001068
